"image_1","image_2","image_3","Артикул","Цвет","Материал верха","Материал подкладки","Размер","Стелька","Сегмент","Марка","Тип обуви","Кр. описание"
"/ss-2015/557361-07-06K.jpg","/ss-2015/557361-07-06K_02.jpg","/ss-2015/557361-07-06K_03.jpg","557361/07-06K","синий","иск.нубук","текстиль/нат.кожа","33-38","нат.кожа","детские (мальчики)","KEDDO","полуботинки",
"/ss-2015/557361-07-07K.jpg","/ss-2015/557361-07-07K_02.jpg","/ss-2015/557361-07-07K_03.jpg","557361/07-07K","серый","иск.нубук","текстиль/нат.кожа","33-38","нат.кожа","детские (мальчики)","KEDDO","полуботинки",
"/ss-2015/557361-07-10K.jpg","/ss-2015/557361-07-10K_02.jpg","/ss-2015/557361-07-10K_03.jpg","557361/07-10K","бежевый","иск.нубук","текстиль/нат.кожа","33-38","нат.кожа","детские (мальчики)","KEDDO","полуботинки",
"/ss-2015/557361-09-01K.jpg","/ss-2015/557361-09-01K_02.jpg","/ss-2015/557361-09-01K_03.jpg","557361/09-01K","синий","иск.нубук","текстиль/нат.кожа","32-37","нат.кожа","детские (мальчики)","KEDDO","полуботинки",
"/ss-2015/557361-09-02K.jpg","/ss-2015/557361-09-02K_02.jpg","/ss-2015/557361-09-02K_03.jpg","557361/09-02K","черный","иск.нубук","текстиль/нат.кожа","32-37","нат.кожа","детские (мальчики)","KEDDO","полуботинки",
"/ss-2015/557361-09-03K.jpg","/ss-2015/557361-09-03K_02.jpg","/ss-2015/557361-09-03K_03.jpg","557361/09-03K","т.серый","иск.нубук","текстиль/нат.кожа","32-37","нат.кожа","детские (мальчики)","KEDDO","полуботинки",
"/ss-2015/557803-01-01K.jpg","/ss-2015/557803-01-01K_02.jpg","/ss-2015/557803-01-01K_03.jpg","557803/01-01K","черный","иск.замша/текстиль","текстиль","34-38","текстиль","детские (девочки)","KEDDO","ботинки",
"/ss-2015/557810-01-01K.jpg","/ss-2015/557810-01-01K_02.jpg","/ss-2015/557810-01-01K_03.jpg","557810/01-01K","белый","иск.кожа","нат.кожа","32-37","нат.кожа","детские (девочки)","KEDDO","туфли открытые",
"/ss-2015/557816-03-02K.jpg","/ss-2015/557816-03-02K_02.jpg","/ss-2015/557816-03-02K_03.jpg","557816/03-02K","бежевый","иск.нубук","текстиль","32-37","нат.кожа","детские (девочки)","KEDDO","полуботинки",
"/ss-2015/557112-02-02J.jpg","/ss-2015/557112-02-02J_02.jpg","/ss-2015/557112-02-02J_03.jpg","557112/02-02J","т.серый","иск.нубук","текстиль","38-41","нат.кожа","подростковые (мальчики)","KEDDO","туфли открытые",
"/ss-2015/557112-02-05J.jpg","/ss-2015/557112-02-05J_02.jpg","/ss-2015/557112-02-05J_03.jpg","557112/02-05J","кэмел","иск.нубук","текстиль","38-41","нат.кожа","подростковые (мальчики)","KEDDO","туфли открытые",
"/ss-2015/557163-02-01J.jpg","/ss-2015/557163-02-01J_02.jpg","/ss-2015/557163-02-01J_03.jpg","557163/02-01J","синий","иск.нубук","текстиль/нат.кожа","38-41","нат.кожа","подростковые (мальчики)","KEDDO","туфли закрытые",
"/ss-2015/557163-05-06J.jpg","/ss-2015/557163-05-06J_02.jpg","/ss-2015/557163-05-06J_03.jpg","557163/05-06J","синий","иск.нубук","текстиль/нат.кожа","38-41","нат.кожа","подростковые (мальчики)","KEDDO","туфли закрытые",
"/ss-2015/557163-05-07J.jpg","/ss-2015/557163-05-07J_02.jpg","/ss-2015/557163-05-07J_03.jpg","557163/05-07J","серый","иск.нубук","текстиль/нат.кожа","38-41","нат.кожа","подростковые (мальчики)","KEDDO","туфли закрытые",
"/ss-2015/557163-05-10J.jpg","/ss-2015/557163-05-10J_02.jpg","/ss-2015/557163-05-10J_03.jpg","557163/05-10J","бежевый","иск.нубук","текстиль/нат.кожа","38-41","нат.кожа","подростковые (мальчики)","KEDDO","туфли закрытые",
"/ss-2015/557163-07-06J.jpg","/ss-2015/557163-07-06J_02.jpg","/ss-2015/557163-07-06J_03.jpg","557163/07-06J","синий","иск.нубук","текстиль/нат.кожа","38-41","нат.кожа","подростковые (мальчики)","KEDDO","туфли закрытые",
"/ss-2015/557163-07-10J.jpg","/ss-2015/557163-07-10J_02.jpg","/ss-2015/557163-07-10J_03.jpg","557163/07-10J","бежевый","иск.нубук","текстиль/нат.кожа","38-41","нат.кожа","подростковые (мальчики)","KEDDO","туфли закрытые",
"/ss-2015/557163-08-01J.jpg","/ss-2015/557163-08-01J_02.jpg","/ss-2015/557163-08-01J_03.jpg","557163/08-01J","черный","иск.нубук","текстиль/нат.кожа","38-41","нат.кожа","подростковые (мальчики)","KEDDO","полуботинки",
"/ss-2015/557163-08-02J.jpg","/ss-2015/557163-08-02J_02.jpg","/ss-2015/557163-08-02J_03.jpg","557163/08-02J","серый","иск.нубук","текстиль/нат.кожа","38-41","нат.кожа","подростковые (мальчики)","KEDDO","полуботинки",
"/ss-2015/557163-08-03J.jpg","/ss-2015/557163-08-03J_02.jpg","/ss-2015/557163-08-03J_03.jpg","557163/08-03J","синий","иск.нубук","текстиль/нат.кожа","38-41","нат.кожа","подростковые (мальчики)","KEDDO","полуботинки",
"/ss-2015/857362-02-01J.jpg","/ss-2015/857362-02-01J_02.jpg","/ss-2015/857362-02-01J_03.jpg","857362/02-01J","т.синий","иск.нубук","текстиль","38-41","нат.кожа","подростковые (мальчики)","KEDDO","полуботинки",
